Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3129;;;-4,494038;17,686549;;Surv Apr-Jun 2016;5/11/16;1;0
3130;;;-4,493499;17,686745;;Surv Apr-Jun 2016;5/11/16;1;0
3131;;;-4,493082;17,686972;;Surv Apr-Jun 2016;5/11/16;1;0
3132;;;-4,492685;17,68697;;Surv Apr-Jun 2016;5/11/16;1;0
3133;;;-4,492198;17,68683;;Surv Apr-Jun 2016;5/11/16;1;0
3134;;;-4,491773;17,686846;;Surv Apr-Jun 2016;5/11/16;1;0
3135;;;-4,491323;17,68699;;Surv Apr-Jun 2016;5/11/16;1;0
3136;;;-4,490869;17,686996;;Surv Apr-Jun 2016;5/11/16;1;0
3137;;;-4,490451;17,686764;;Surv Apr-Jun 2016;5/11/16;1;0
3138;;;-4,489974;17,686513;;Surv Apr-Jun 2016;5/11/16;1;0
3139;;;-4,489481;17,686394;;Surv Apr-Jun 2016;5/11/16;1;0
3140;;;-4,424698;17,716119;;Surv Apr-Jun 2016;5/11/16;1;0
3141;;;-4,424524;17,715895;;Surv Apr-Jun 2016;5/11/16;1;0
3142;;;-4,424525;17,715832;;Surv Apr-Jun 2016;5/11/16;1;0
3143;;;-4,424477;17,716074;;Surv Apr-Jun 2016;5/11/16;1;0
3144;;;-4,424256;17,716215;;Surv Apr-Jun 2016;5/11/16;1;0
3145;;;-4,424197;17,71687;;Surv Apr-Jun 2016;5/11/16;1;0
3146;;;-4,424001;17,717284;;Surv Apr-Jun 2016;5/11/16;1;0
3147;;;-4,423713;17,71764;;Surv Apr-Jun 2016;5/11/16;1;0
3148;;;-4,423124;17,717764;;Surv Apr-Jun 2016;5/11/16;1;0
3149;;;-4,422728;17,71796;;Surv Apr-Jun 2016;5/11/16;1;0
3150;;;-4,422279;17,718151;;Surv Apr-Jun 2016;5/11/16;1;0
3151;;;-4,422025;17,718542;;Surv Apr-Jun 2016;5/11/16;1;0
3152;;;-4,421866;17,718978;;Surv Apr-Jun 2016;5/11/16;1;0
3153;;;-4,421585;17,719327;;Surv Apr-Jun 2016;5/11/16;1;0
3154;;;-4,421128;17,719516;;Surv Apr-Jun 2016;5/11/16;1;0
3155;;;-4,42063;17,719732;;Surv Apr-Jun 2016;5/11/16;1;0
3156;;;-4,420355;17,720065;;Surv Apr-Jun 2016;5/11/16;1;0
3157;;;-4,419923;17,720252;;Surv Apr-Jun 2016;5/11/16;1;0
