ProvincePoliAdmin;Cheflieux;Proved;Sproved;Territoire;Groupement;Commune;Nom Ecole;Adresse;GPS_latitude;GPS_longitude;GPS_altitude;GPS_precision;Numero SECOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;MBALA;SELEMBAO;COLLEGE JEAN MARIE VIANNEY;NULL;-4.422176476055921;15.266095774899657;413.8337414956349;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;MBALA;SELEMBAO;ECOLE MATERNELLE LE TORRENT DE KERITH;NULL;-4.423527206968484;15.266084793521483;418.61790266056653;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;CITE VERTE;SELEMBAO;GROUPE SCOLAIRE DISTINCTION EDUCARE;NULL;-4.437720382459406;15.260835732578098;424.79872302385894;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;CITE VERTE;SELEMBAO;COLLEGE PIERRE BOUVET;NULL;-4.4411917759139;15.259779120496995;447.10713809527795;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;CITE VERTE;SELEMBAO;COMPLEXE SCOLAIRE LES OKAPIS;NULL;-4.437667673913855;15.261570637936147;440.14052491099017;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;CITE VERTE;SELEMBAO;COMPLEXE SCOLAIRE MARIE REINE  DE LA PAIX;NULL;-4.433893714429026;15.260586859956838;417.7197836202252;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;BADIADINGI;SELEMBAO;COLLEGE REDEMPTEUR;NULL;-4.427730510580085;15.258871833137775;446.4917843625128;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;BADIADINGI;SELEMBAO;COMPLEXE SCOLAIRE MARIE MERE DE REDEMPTEUR ;NULL;-4.426684164751857;15.259630729290171;452.5104077420837;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;LIBERATION ;SELEMBAO;COMPLEXE SCOLAIRE CECILE NTUMBA NSEYA/CNN;NULL;-4.4372507447926255;15.275937356708962;399.7887320618951;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;HERADY;SELEMBAO;COMPLEXE SCOLAIRE LE CANON;NULL;-4.410284635239225;15.284208436950816;344.2060072851859;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;MBALA;SELEMBAO;ECOLE MATERNELLE REVEREND MUSHIRI;NULL;-4.415519036154893;15.266439912678951;376.5256650601516;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;BADIADINGI;SELEMBAO;GROUPE SCOLAIRE BAMBA2;NULL;-4.422537144715547;15.260191122509893;494.3100694145749;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;BADIADINGI;SELEMBAO;F0NDATION MADAME ALICE MATUALA;NULL;-4.422424049200315;15.260522707183403;424.49739582340266;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;LIBERATION ;SELEMBAO;COMPLEXE SCOLAIRE TROIS ETOILES ;NULL;-4.43239476719596;15.267806738533524;347.38840152793006;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;LUBUDI;SELEMBAO;COLLEGE GAMALIEL;NULL;-4.369202538517047;15.283085094947056;318.70796680866357;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;KONDE;SELEMBAO;COMPLEXE SCOLAIRE BILING;NULL;-4.39237559710912;15.283306557703161;347.0564774309006;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKONDE;SELEMBAO;COLLEGE SHEKINAH;NULL;-4.391736207532191;15.28279759465773;372.3222727268992;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;MOLENDE;SELEMBAO;COMPLEXE SCOLAIRE LA SAGESSE;NULL;-4.389467719523549;15.279258792177878;339.6936134472482;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;MOLENDE;SELEMBAO;COLLEGE REV.MANUENO;NULL;-4.390558557711557;15.280689508193335;379.02407107294766;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKULU;SELEMBAO;LYCEE BIENHEUREUSE ANUARITE;NULL;-4.364813949847572;15.282426627143218;293.36379525233775;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKULU;SELEMBAO;COMPLEXE SCOLAIRE NIF;NULL;-4.368735605182489;15.284917200233581;294.2885842593798;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;MUANA NTUNU ;SELEMBAO;COMPLEXE SCOLAIRE BUIMA;NULL;-4.358651232945651;15.280862853525404;294.92350138194035;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;LUBUDI;SELEMBAO;COMPLEXE SCOLAIRE SEMENCE;NULL;-4.36991507367811;15.282126980527764;305.07056536053443;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;LUBUDI;SELEMBAO;COMPLEXE SCOLAIRE C.S CHRIST VAINQUEUR;NULL;-4.375482980830102;15.28068329608468;316.91837736560393;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NGAFANI;SELEMBAO;COMPLEXE SCOLAIRE LUSALA;NULL;-4.4011389810838635;15.29481337834463;408.4941656565338;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;INGA;SELEMBAO;GROUPE SCOLAIRE G.S LA TENDRESSE;NULL;-4.381694924081912;15.291298537228958;330.6898184582081;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;INGA;SELEMBAO;ECOLE PRIMAIRE ECOLE INTERNATIONALE DE L''ODH;NULL;-4.38105665772697;15.283679005114205;367.8457275063026;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKULU;SELEMBAO;COLLEGE MARQUIS 2;NULL;-4.365571129261378;15.284435007309607;321.6462357701089;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;LUBUDI;SELEMBAO;COMPLEXE SCOLAIRE C.S KINZOZI;NULL;-4.377977384634052;15.281038785058755;340.83131377685777;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKULU;SELEMBAO;GROUPE SCOLAIRE LE JOURDAIN ;NULL;-4.366602842459002;15.284917081285508;310.119519512514;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;INGA;SELEMBAO;COMPLEXE SCOLAIRE C.S KINKALANKALA;NULL;-4.379552348596066;15.279562899630893;334.0526639765533;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKULU;SELEMBAO;COMPLEXE SCOLAIRE FONTAINE DU SAVOIR;NULL;-4.366160640954425;15.283657396862363;307.485640482225;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;INGA;SELEMBAO;LYCEE LYCEE FRANCO LATIN;NULL;-4.382597122384497;15.281985033466006;375.3918920770538;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;NGIRI NGIRI;FUNA;SAO;NGIRI NGIRI;COMPLEXE SCOLAIRE CREME DE LEADER;NULL;-4.355891273806891;15.28987598382522;304.48914777907964;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;PULULU ;SELEMBAO;COLLEGE PAPA MAKAMBA;NULL;-4.386533932360117;15.296407386797291;331.0688526624794;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;MADIATA;SELEMBAO;ECOLE PRIMAIRE BONGO;NULL;-4.406432424287423;15.28039736316193;358.5483869211697;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KALUNGA;SELEMBAO;COMPLEXE SCOLAIRE APOTRE TASI;NULL;-4.398333220675935;15.294631816804444;421.2699400272765;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;MBALA;SELEMBAO;COLLEGE SAINT HUBERT;NULL;-4.422362461550288;15.269158646215475;415.64813801027606;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;BADIADINGI;SELEMBAO;LYCEE SAINT ABIGAEL;NULL;-4.424029757784278;15.264953785619136;432.3604505305054;128.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KINGU;SELEMBAO;NOUVIE;NULL;-4.411344500306022;15.264508829761875;349.9660808561527;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KINGU ;SELEMBAO;COMPLEXE SCOLAIRE LES ETOILES;NULL;-4.413494496832784;15.258787652676958;447.4618942408829;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;LIBERATION ;SELEMBAO;COLLEGE ARC-EN-CIEL REVELATION ;NULL;-4.438525000636436;15.268606998918049;409.58208291541644;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;NGAFANI;SELEMBAO;COLLEGE LES ENFANTS  DE JESUS ;NULL;-4.408210751833284;15.289344531741298;405.42944761885775;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;LIBERATION;SELEMBAO;COLLEGE EXCELLENCE ST NESTOR ;NULL;-4.431967083521623;15.270726422510666;366.88281583626366;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;NGAFANI;SELEMBAO;COMPLEXE SCOLAIRE TSHINKE ;NULL;-4.407808429768899;15.28826546154451;397.9906533434551;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;LIBERATION ;SELEMBAO;COLLEGE PERE SIKO;NULL;-4.4306019011957565;15.27125148458862;350.7286590897152;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;NGAFANI;SELEMBAO;LYCEE MARIE FRANCE;NULL;-4.40187515253413;15.290167442290562;390.18439748156186;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;LIBERATION ;SELEMBAO;COMPLEXE SCOLAIRE TROIS ETOILES ;NULL;-4.432488564315382;15.267863292511468;349.1455145805817;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;NGAFANI;SELEMBAO;CASI NGAFANI;NULL;-4.4035461282428425;15.291450981092705;385.8725007753422;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;NGAFANI;SELEMBAO;COLLEGE LE GRAND  CONQUERANT ;NULL;-4.411318261101942;15.28743512805356;407.0359315767513;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KALUNGA;SELEMBAO;COLLEGE DR BUKA;NULL;-4.396696263499403;15.29843916157324;400.80397093923534;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KINGU;SELEMBAO;COLLEGE JEAN RAUSTAND;NULL;-4.4089976289259365;15.278576822792845;423.1440772246063;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KINGU;SELEMBAO;COLLEGE NAZIREATS;NULL;-4.4080021005674235;15.27758949505754;434.0557935977183;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KINGU;SELEMBAO;COLLEGE SAINT PIERRE;NULL;-4.406377998944137;15.271567163399245;473.66699175942915;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 1;FUNA;KALUNGA;SELEMBAO;COMPLEXE SCOLAIRE KRISTU MOLOBELI;NULL;-4.3922587830704;15.297987953132067;394.38047689001394;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;LUBUDI;SELEMBAO;COMPLEXE SCOLAIRE C.S RHEMA LOGOS;NULL;-4.3704212653400445;15.283987934577322;314.61256768563607;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;MUANA NTUNU;SELEMBAO;COMPLEXE SCOLAIRE FONDATION JARDIN DE LA FOI;NULL;-4.360246537779928;15.285385609528625;312.3871164275716;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;NKULU;SELEMBAO;COMPLEXE SCOLAIRE C.S SOURCE DE VIE;NULL;-4.369190282047806;15.284193763535718;312.772777989879;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KINSHASA;KINSHASA;KINSHASA FUNA;SELEMBAO 2;FUNA;MUANA NTUNU;SELEMBAO;COMPLEXE SCOLAIRE BETHESDA;NULL;-4.359363990791687;15.283953315755985;303.4115328357142;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
