Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
SAK03;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,0182601074140682;Lukula;0;367;367;0
SAK03;T7;4/30/17;5/2/17;IN;0;0;0;;0,00895797094538446;Lukula;0;367;367;0
SAK03;T4;7/26/16;7/28/16;IN;0;0;0;;0,0182601074140682;Lukula;0;367;367;0
SAK03;T8;7/22/17;7/24/17;IN;0;0;0;;0,00895797094538446;Lukula;0;367;367;0
SAK03;T2;2/6/16;2/8/16;IN;0;0;0;;0,0182601074140682;Lukula;0;367;367;0
SAK03;T1;11/14/15;11/16/15;IN;0;0;0;;0,0246406836015127;Lukula;0;367;367;0
SAK04;T0;7/15/15;7/17/15;IN;0;0;0;; ; ; ;367; ; 
SAK04;T6;2/11/17;2/13/17;IN;0;0;0;;0,0195832430583427;Lukula;0;367;367;0
SAK04;T2;2/6/16;2/8/16;IN;0;0;0;;0,0195832430583427;Lukula;0;367;367;0
SAK04;T1;11/14/15;11/16/15;IN;0;0;0;;0,0195832430583427;Lukula;0;367;367;0
SAK04;T8;7/22/17;7/24/17;IN;0;0;0;;0,00391045883572416;Lukula;0;367;367;0
SAK04;T7;4/30/17;5/2/17;IN;0;0;0;;0,0184219357414917;Lukula;0;367;367;0
SAK04;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,0195832430583427;Lukula;0;367;367;0
SAK04;T4;7/26/16;7/28/16;IN;0;0;0;;0,0195832430583427;Lukula;0;367;367;0
SAK04;T3;4/25/16;4/27/16;IN;0;0;0;;0,0195832430583427;Lukula;0;367;367;0
SAK05;T6;2/11/17;2/13/17;IN;0;1;0;;0,00664420221643759;Lukula;0;367;367;0
SAK05;T2;2/6/16;2/8/16;IN;0;1;0;;0,0103933741235255;Lukula;0;367;367;0
SAK05;T8;7/22/17;7/24/17;IN;0;0;0;;0,00664420221643759;Lukula;0;367;367;0
SAK05;T1;11/14/15;11/16/15;IN;0;1;0;;0,0103933741235255;Lukula;0;367;367;0
SAK05;T4;7/26/16;7/28/16;IN;0;2;0;;0,0103933741235255;Lukula;0;367;367;0
SAK05;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00664420221643759;Lukula;0;367;367;0
SAK05;T0;7/15/15;7/17/15;IN;2;1;0;; ; ; ;367; ; 
SAK05;T3;4/25/16;4/27/16;IN;0;0;0;;0,0103933741235255;Lukula;0;367;367;0
SAK05;T7;4/30/17;5/2/17;IN;0;0;0;;0,00664420221643759;Lukula;0;367;367;0
