Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
3091;;;-4,490247;17,702787;;Surv Apr-Jun 2016;5/10/16;1;1;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;1;0;;22,4514600754995;Lukula;2343;367;362;5
3092;;;-4,489826;17,702999;;Surv Apr-Jun 2016;5/10/16;1;1;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;1;0;;22,4412781113344;Lukula;2411;367;362;5
3093;;;-4,489563;17,703464;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,3994482638093;Lukula;2413;367;362;5
3094;;;-4,489276;17,70378;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,3743298239417;Lukula;2479;367;362;5
3095;;;-4,489038;17,704159;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,3410729068933;Lukula;2523;367;362;5
3096;;;-4,488794;17,704524;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,3095532158152;Lukula;2463;367;362;5
3097;;;-4,488487;17,704838;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,2854670626791;Lukula;2479;367;362;5
3098;;;-4,488131;17,705187;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,2592476753954;Lukula;2449;375;362;13
3099;;;-4,487837;17,705493;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,2357811899631;Lukula;2451;377;362;15
3100;;;-4,487493;17,705744;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,2198102412205;Lukula;2408;378;362;16
3101;;;-4,487195;17,70611;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,1902441849655;Lukula;2476;382;362;20
